Country;Crime Index;Year
Afghanistan;78.3;2024
Albania;45.6;2024
Algeria;52.2;2024
Andorra;12.9;2024
Angola;66.5;2024
Argentina;64.2;2024
Armenia;22.4;2024
Australia;47.1;2024
Austria;29.3;2024
Azerbaijan;31.6;2024
Bahamas;56.5;2024
Bahrain;23.9;2024
Bangladesh;61.5;2024
Barbados;47.1;2024
Belarus;50.8;2024
Belgium;49.2;2024
Belize;53;2024
Bolivia;64.6;2024
Bosnia And Herzegovina;40.9;2024
Botswana;52.2;2024
Brazil;65.6;2024
Brunei;29.5;2024
Bulgaria;37.1;2024
Cambodia;52.8;2024
Cameroon;63.5;2024
Canada;45.2;2024
Chile;59.3;2024
China;24.9;2024
Colombia;61.2;2024
Costa Rica;53.7;2024
Croatia;26;2024
Cuba;33.4;2024
Cyprus;32.4;2024
Czech Republic;26.8;2024
Denmark;26.3;2024
Dominican Republic;60.5;2024
Ecuador;62.1;2024
Egypt;47.3;2024
El Salvador;61.3;2024
Estonia;23.8;2024
Ethiopia;50.8;2024
Fiji;57.3;2024
Finland;26.3;2024
France;55.3;2024
Georgia;26.1;2024
Germany;38.9;2024
Ghana;43.9;2024
Greece;46.7;2024
Guatemala;59.5;2024
Guyana;67.3;2024
Haiti;77.9;2024
Honduras;73.4;2024
Hong Kong (China);21.8;2024
Hungary;33.7;2024
Iceland;25.4;2024
India;44.3;2024
Indonesia;46.1;2024
Iran;49.5;2024
Iraq;44.7;2024
Ireland;46.5;2024
Isle Of Man;20.5;2024
Israel;32.4;2024
Italy;47.3;2024
Ivory Coast;57.1;2024
Jamaica;68.1;2024
Japan;22.6;2024
Jordan;40.4;2024
Kazakhstan;45.9;2024
Kenya;56.4;2024
Kosovo (Disputed Territory);41.7;2024
Kuwait;32.8;2024
Kyrgyzstan;54;2024
Latvia;37.4;2024
Lebanon;46.4;2024
Libya;60.4;2024
Lithuania;32.8;2024
Luxembourg;34.4;2024
Malaysia;50.7;2024
Maldives;55;2024
Malta;41.2;2024
Mauritius;47.8;2024
Mexico;53.8;2024
Moldova;45.1;2024
Monaco;23.6;2024
Mongolia;52.4;2024
Montenegro;38;2024
Morocco;46.5;2024
Mozambique;63.7;2024
Myanmar;50.4;2024
Namibia;63.9;2024
Nepal;37.7;2024
Netherlands;26.3;2024
New Zealand;47.7;2024
Nicaragua;52.2;2024
Nigeria;66.2;2024
North Korea;51.7;2024
North Macedonia;41;2024
Norway;32.6;2024
Oman;19;2024
Pakistan;43.2;2024
Palestine;42.1;2024
Panama;44.3;2024
Papua New Guinea;79.7;2024
Paraguay;50.9;2024
Peru;67.8;2024
Philippines;42.8;2024
Poland;30.7;2024
Portugal;31.2;2024
Puerto Rico;61.7;2024
Qatar;16;2024
Romania;33.7;2024
Russia;39.1;2024
Rwanda;26.8;2024
Saudi Arabia;26.9;2024
Serbia;38.3;2024
Singapore;23.5;2024
Slovakia;31.1;2024
Slovenia;24.2;2024
Somalia;65.2;2024
South Africa;75.4;2024
South Korea;24.9;2024
Spain;36.2;2024
Sri Lanka;42.1;2024
Sudan;45.4;2024
Sweden;48.4;2024
Switzerland;25.3;2024
Syria;69.1;2024
Taiwan;16.7;2024
Tanzania;54.5;2024
Thailand;37.9;2024
Trinidad And Tobago;70.8;2024
Tunisia;44.4;2024
Turkey;40.9;2024
Uganda;55;2024
Ukraine;46.9;2024
United Arab Emirates;15.6;2024
United Kingdom;47.4;2024
United States;49.3;2024
Uruguay;52.2;2024
Us Virgin Islands;62.1;2024
Uzbekistan;30.5;2024
Venezuela;81.2;2024
Vietnam;42.2;2024
Yemen;68.6;2024
Zambia;46.4;2024
Zimbabwe;60.9;2024
Afghanistan;78.6;2023
Albania;45.7;2023
Algeria;52.6;2023
Angola;65.4;2023
Argentina;64.3;2023
Armenia;22;2023
Australia;45.5;2023
Austria;27.3;2023
Azerbaijan;31.8;2023
Bahamas;62.4;2023
Bahrain;24;2023
Bangladesh;62.6;2023
Barbados;47.9;2023
Belarus;56.4;2023
Belgium;49.1;2023
Belize;53.1;2023
Bolivia;60.8;2023
Bosnia And Herzegovina;42.9;2023
Botswana;53.7;2023
Brazil;66.6;2023
Brunei;29;2023
Bulgaria;38;2023
Cambodia;52.9;2023
Cameroon;64.8;2023
Canada;44.3;2023
Chile;58.1;2023
China;26.3;2023
Colombia;60.2;2023
Costa Rica;53.8;2023
Croatia;24.6;2023
Cuba;31.6;2023
Cyprus;31.4;2023
Czech Republic;26.6;2023
Denmark;26.6;2023
Dominican Republic;61.2;2023
Ecuador;59.4;2023
Egypt;47.2;2023
El Salvador;64.4;2023
Estonia;25.1;2023
Ethiopia;50.9;2023
Fiji;57;2023
Finland;26.8;2023
France;55.3;2023
Georgia;25.9;2023
Germany;37.6;2023
Ghana;44.5;2023
Greece;47;2023
Guatemala;59.7;2023
Guyana;69;2023
Honduras;74.2;2023
Hong Kong (China);21.5;2023
Hungary;33.9;2023
Iceland;24.9;2023
India;44.6;2023
Indonesia;45.9;2023
Iran;49.9;2023
Iraq;46.1;2023
Ireland;45.9;2023
Isle Of Man;18;2023
Israel;32.6;2023
Italy;46.9;2023
Jamaica;67.8;2023
Japan;23.1;2023
Jordan;41;2023
Kazakhstan;52.7;2023
Kenya;57;2023
Kosovo (Disputed Territory);40.8;2023
Kuwait;32.6;2023
Kyrgyzstan;54.6;2023
Latvia;37.7;2023
Lebanon;46.2;2023
Libya;60.2;2023
Lithuania;33;2023
Luxembourg;35.1;2023
Malaysia;52.9;2023
Maldives;54.5;2023
Malta;42.5;2023
Mauritius;48.1;2023
Mexico;54.4;2023
Moldova;47.1;2023
Monaco;24.6;2023
Mongolia;53.9;2023
Montenegro;39.8;2023
Morocco;46.8;2023
Mozambique;63.4;2023
Myanmar;48.2;2023
Namibia;64.8;2023
Nepal;37.6;2023
Netherlands;27.3;2023
New Zealand;45.8;2023
Nicaragua;48.8;2023
Nigeria;65.5;2023
North Korea;52.4;2023
North Macedonia;40.9;2023
Norway;33.5;2023
Oman;19.7;2023
Pakistan;42.3;2023
Palestine;41;2023
Panama;43.7;2023
Papua New Guinea;79.9;2023
Paraguay;50.8;2023
Peru;67.6;2023
Philippines;42.7;2023
Poland;29.2;2023
Portugal;31.5;2023
Puerto Rico;62;2023
Qatar;14.8;2023
Romania;32;2023
Russia;39.3;2023
Rwanda;27.6;2023
Saudi Arabia;24.6;2023
Serbia;38.2;2023
Singapore;29.2;2023
Slovakia;31.4;2023
Slovenia;24.2;2023
Somalia;68.6;2023
South Africa;75.4;2023
South Korea;25.5;2023
Spain;35.7;2023
Sri Lanka;41.4;2023
Sudan;46.5;2023
Sweden;48.5;2023
Switzerland;23.6;2023
Syria;68.8;2023
Taiwan (China);16.2;2023
Tanzania;55.5;2023
Thailand;38.7;2023
Trinidad And Tobago;70.6;2023
Tunisia;44.6;2023
Turkey;40.1;2023
Uganda;54.9;2023
Ukraine;46.7;2023
United Arab Emirates;15.1;2023
United Kingdom;46.9;2023
United States;49;2023
Uruguay;52.7;2023
Us Virgin Islands;60.9;2023
Uzbekistan;33.5;2023
Venezuela;82.6;2023
Vietnam;44.5;2023
Zambia;48.8;2023
Zimbabwe;60.5;2023
Venezuela;83.6;2022
Papua New Guinea;81.2;2022
