Country Name,Year,GDP
Aruba,2015,35972.8664446515
Aruba,2016,36117.5082112517
Aruba,2017,37524.9284784013
Aruba,2018,39287.0195169703
Aruba,2019,39110.2761899842
Aruba,2020,28976.4635497124
Aruba,2021,35696.3093722926
Aruba,2022,41649.4507917816
Aruba,2023,44967.3445127078
Afghanistan,2015,2284.07584789349
Afghanistan,2016,2213.1814410479
Afghanistan,2017,2335.79586234454
Afghanistan,2018,2432.27670083336
Afghanistan,2019,2583.48533239877
Afghanistan,2020,2561.98176058622
Afghanistan,2021,2144.16657002819
Afghanistan,2022,2122.99581512665
Afghanistan,2023,2211.28063454007
Angola,2015,7119.72644274401
Angola,2016,6843.73589660504
Angola,2017,6992.7288342812
Angola,2018,7347.79993635052
Angola,2019,7528.38241791217
Angola,2020,6450.74994625154
Angola,2021,7408.12659121059
Angola,2022,7924.88880583905
Angola,2023,8040.70244971812
Albania,2015,11662.0362602873
Albania,2016,12078.859007524
Albania,2017,12771.0344395233
Albania,2018,13696.7885617842
Albania,2019,14792.2572244853
Albania,2020,14511.9838623115
Albania,2021,16127.7532581824
Albania,2022,19446.2366628501
Albania,2023,21263.1956590519
Andorra,2015,50733.2390011701
Andorra,2016,53110.1426270832
Andorra,2017,53084.8639640903
Andorra,2018,55244.6554088177
Andorra,2019,57475.0692842215
Andorra,2020,52095.8414004627
Andorra,2021,59332.2029100127
Andorra,2022,68470.075948385
Andorra,2023,71730.6686821645
United Arab Emirates,2015,71720.3084491294
United Arab Emirates,2016,67702.1473930392
United Arab Emirates,2017,68043.2312133421
United Arab Emirates,2018,75071.1800501443
United Arab Emirates,2019,76884.9468968289
United Arab Emirates,2020,65352.8344194961
United Arab Emirates,2021,67401.1212950201
United Arab Emirates,2022,73777.7443949344
United Arab Emirates,2023,76110.3848456483
Argentina,2015,19899.1499275245
Argentina,2016,20105.761359796
Argentina,2017,23385.0740904917
Argentina,2018,24410.3919063335
Argentina,2019,23516.8261980886
Argentina,2020,22393.3479575353
Argentina,2021,26300.274261175
Argentina,2022,29597.6938429264
Argentina,2023,30082.3045247323
Armenia,2015,9756.84084836026
Armenia,2016,10570.2720413936
Armenia,2017,12066.0043093819
Armenia,2018,12877.4937543553
Armenia,2019,14975.7539538157
Armenia,2020,14706.3173043422
Armenia,2021,15921.705281964
Armenia,2022,19161.370051419
Armenia,2023,21342.5145334886
Antigua and Barbuda,2015,20989.3858896307
Antigua and Barbuda,2016,21321.7097579145
Antigua and Barbuda,2017,21370.3095091624
Antigua and Barbuda,2018,24524.2137953887
Antigua and Barbuda,2019,26533.7301936962
Antigua and Barbuda,2020,22356.7687224849
Antigua and Barbuda,2021,25733.2948269644
Antigua and Barbuda,2022,30031.7474698743
Antigua and Barbuda,2023,32149.1403648823
Australia,2015,46263.731388772
Australia,2016,47260.1529933747
Australia,2017,48371.1409956585
Australia,2018,50183.6898127634
Australia,2019,52673.0638176231
Australia,2020,53984.1246979075
Australia,2021,58182.3369477501
Australia,2022,65871.7715157769
Australia,2023,70497.1524466689
Austria,2015,49562.5939257986
Austria,2016,52397.8635176673
Austria,2017,53869.8321183555
Austria,2018,56636.4953030539
Austria,2019,60354.9279422121
Austria,2020,58523.0337816244
Austria,2021,62968.9422311889
Austria,2022,70734.94256479
Austria,2023,70478.7873635411
Azerbaijan,2015,15075.2726347911
Azerbaijan,2016,14535.8020210633
Azerbaijan,2017,14315.929643106
Azerbaijan,2018,15282.9995232298
Azerbaijan,2019,16675.3179361558
Azerbaijan,2020,15163.5703327282
Azerbaijan,2021,20111.3756952109
Azerbaijan,2022,22552.114937879
Azerbaijan,2023,23597.8378621757
Burundi,2015,797.426234406883
Burundi,2016,771.987433717541
Burundi,2017,761.26925722129
Burundi,2018,753.455516066195
Burundi,2019,779.197990653363
Burundi,2020,786.515830674648
Burundi,2021,836.665571337829
Burundi,2022,888.518158386928
Burundi,2023,919.906646235639
Belgium,2015,46084.2424551717
Belgium,2016,48414.5518065681
Belgium,2017,50256.0631772784
Belgium,2018,52466.7330784599
Belgium,2019,56712.4695719782
Belgium,2020,56120.0958420466
Belgium,2021,60666.3364518842
Belgium,2022,68137.6550260291
Belgium,2023,69072.8333852392
Benin,2015,2725.33724817144
Benin,2016,2842.0246258376
Benin,2017,2885.89383987721
Benin,2018,2965.30628143664
Benin,2019,3148.97969597838
Benin,2020,3244.58772756805
Benin,2021,3464.2886286745
Benin,2022,3844.16493382584
Benin,2023,4129.97941493295
Burkina Faso,2015,1691.57935387408
Burkina Faso,2016,1881.75893134407
Burkina Faso,2017,2042.40295259917
Burkina Faso,2018,2073.3235382155
Burkina Faso,2019,2232.16282016585
Burkina Faso,2020,2380.72282781802
Burkina Faso,2021,2486.43093147762
Burkina Faso,2022,2641.87011276969
Burkina Faso,2023,2754.71346543425
Bangladesh,2015,4212.23578089428
Bangladesh,2016,4579.13228682862
Bangladesh,2017,4882.60692615639
Bangladesh,2018,5490.15881865179
Bangladesh,2019,6047.12401504125
Bangladesh,2020,6640.58437331062
Bangladesh,2021,7441.06913961254
Bangladesh,2022,8450.54902533944
Bangladesh,2023,9147.77750665547
Bulgaria,2015,18391.0123064568
Bulgaria,2016,20065.7403845287
Bulgaria,2017,21457.976465221
Bulgaria,2018,22977.688151421
Bulgaria,2019,25434.84084603
Bulgaria,2020,25863.2195494549
Bulgaria,2021,29305.3547082553
Bulgaria,2022,34855.890730428
Bulgaria,2023,37507.7733965202
Bahrain,2015,48034.2468880503
Bahrain,2016,47428.9018907649
Bahrain,2017,50184.5005767301
Bahrain,2018,51993.1307818652
Bahrain,2019,56599.5214364411
Bahrain,2020,53436.0316999712
Bahrain,2021,54954.6757895532
Bahrain,2022,61562.1414837823
Bahrain,2023,63497.6169362333
"Bahamas, The",2015,31687.724047011
"Bahamas, The",2016,31916.2517635492
"Bahamas, The",2017,33703.2226750049
"Bahamas, The",2018,34668.809181369
"Bahamas, The",2019,35406.5739124983
"Bahamas, The",2020,26141.4530002473
"Bahamas, The",2021,29340.4723479708
"Bahamas, The",2022,34719.2847669033
"Bahamas, The",2023,36742.0620432456
Bosnia and Herzegovina,2015,11848.6758534162
Bosnia and Herzegovina,2016,12899.4155514915
Bosnia and Herzegovina,2017,13627.1680327978
Bosnia and Herzegovina,2018,14858.5348129737
Bosnia and Herzegovina,2019,16428.7164804757
Bosnia and Herzegovina,2020,16369.8505988886
Bosnia and Herzegovina,2021,18286.9087810368
Bosnia and Herzegovina,2022,21117.2051973262
Bosnia and Herzegovina,2023,22449.150301736
Belarus,2015,18133.5696288888
Belarus,2016,17832.4778855815
Belarus,2017,18413.7127377197
Belarus,2018,20026.0306698699
Belarus,2019,22301.5766886376
Belarus,2020,24872.3398993711
Belarus,2021,27611.1801135156
Belarus,2022,28429.4948814534
Belarus,2023,30763.0198215957
Belize,2015,9538.19054142614
Belize,2016,9401.53293960018
Belize,2017,9121.74716397996
Belize,2018,9527.70914005255
Belize,2019,10531.3234398626
Belize,2020,9618.01643529994
Belize,2021,11677.4610095172
Belize,2022,13465.9807069861
Belize,2023,13823.4379513758
Bermuda,2015,75943.4642970922
Bermuda,2016,80412.1834895484
Bermuda,2017,85680.9701917217
Bermuda,2018,85978.2177227009
Bermuda,2019,90984.457670832
Bermuda,2020,85143.7179221205
Bermuda,2021,92276.2346046359
Bermuda,2022,105048.434014574
Bermuda,2023,108810.998438551
Bolivia,2015,7152.04465008671
Bolivia,2016,7547.90376778126
Bolivia,2017,8510.26685556152
Bolivia,2018,8952.58785283125
Bolivia,2019,9174.44563456336
Bolivia,2020,8293.99121184441
Bolivia,2021,9454.19814726348
Bolivia,2022,10371.9629040947
Bolivia,2023,10925.2730516706
Brazil,2015,14821.438318195
Brazil,2016,14309.2061473297
Brazil,2017,14559.0488894794
Brazil,2018,15463.7426396097
Brazil,2019,16069.8380163501
Brazil,2020,16101.618305077
Brazil,2021,18075.7060063108
Brazil,2022,19876.8533546887
Brazil,2023,21107.2821033791
Barbados,2015,17804.7490038367
Barbados,2016,18013.6734415905
Barbados,2017,17898.8994551274
Barbados,2018,18551.1686491129
Barbados,2019,18760.3700129938
Barbados,2020,15824.49106614
Barbados,2021,15683.8847128096
Barbados,2022,19786.3615156208
Barbados,2023,21336.1575553015
Brunei Darussalam,2015,62707.8263582428
Brunei Darussalam,2016,56679.5185751306
Brunei Darussalam,2017,61657.6802809744
Brunei Darussalam,2018,65148.8264520382
Brunei Darussalam,2019,69353.6798666178
Brunei Darussalam,2020,69787.9633393605
Brunei Darussalam,2021,78248.7971101454
Brunei Darussalam,2022,81801.7459082792
Brunei Darussalam,2023,85267.5530498505
Bhutan,2015,10213.8139630438
Bhutan,2016,11273.2823798666
Bhutan,2017,11677.4142686794
