Country Name,Year,Area,Sex,Religion,Record Type,Reliability,Source Year,Value,Value Footnotes
Guinea-Bissau,2009,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2015.0,320009.0,28
Mongolia,2020,Total,Male,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2021.0,738268.0,48
Samoa,2001,Total,Male,Congregational,Census - de facto - complete tabulation,"Final figure, complete",2008.0,32010.0,
Philippines,2020,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2023.0,43702150.0,
Marshall Islands,1999,Total,Male,Protestant,Census - de facto - complete tabulation,"Final figure, complete",2001.0,14275.0,
Nepal,2021,Total,Male,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2023.0,11587529.0,
South Africa,2001,Total,Male,No Religion,Census - de facto - complete tabulation,"Final figure, complete",2005.0,3867117.0,
Poland,2011,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2014.0,15967673.0,
Kiribati,2015,Total,Male,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2019.0,30963.0,
Nicaragua,2005,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2009.0,1286767.0,54
Republic of Korea,2015,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2017.0,14673625.0,"66,67"
Rwanda,2012,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2016.0,2225574.0,74
Cyprus,2021,Total,Male,Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2024.0,336627.0,19
Serbia,2002,Total,Male,Serbian Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2003.0,3104179.0,78
Belize,2010,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2014.0,63281.0,
Mauritius,2011,Total,Male,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2012.0,231799.0,45
Canada,2021,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2022.0,6506465.0,14
Mexico,2020,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2021.0,47275522.0,46
Niue,2001,Total,Male,Ekalesia Niue,Census - de facto - complete tabulation,"Final figure, complete",2005.0,552.0,55
Bahamas,2022,Total,Male,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2024.0,64409.0,
Uganda,2002,Total,Both Sexes,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2004.0,10242594.0,105
Peru,2017,Total,Male,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2019.0,8601347.0,12
Paraguay,2002,Total,Male,Catholic,Census - de facto - complete tabulation,"Final figure, complete",2004.0,1754958.0,
Estonia,2021,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2022.0,327220.0,22
Switzerland,2000,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2003.0,1476009.0,
Thailand,2010,Total,Male,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2012.0,30196344.0,
Saint Vincent and the Grenadines,2001,Total,Male,Anglican,Census - de facto - complete tabulation,"Final figure, complete",2017.0,9936.0,
Malaysia,2020,Total,Male,Islam ,Census - de jure - complete tabulation,"Final figure, complete",2024.0,10711119.0,
Burundi,2008,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2009.0,2418529.0,
Georgia,2002,Total,Male,Christian Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2009.0,1719843.0,
Lao People's Democratic Republic,2015,Total,Male,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2019.0,2097275.0,
Slovenia,2002,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2003.0,521431.0,
Lithuania,2001,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2003.0,1238992.0,
Qatar,2004,Total,Male,Muslim,Census - de facto - complete tabulation,"Final figure, complete",2005.0,362725.0,
Croatia,2001,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2005.0,1863959.0,
Cayman Islands,2021,Total,Male,Church of God,Census - de jure - complete tabulation,"Final figure, complete",2024.0,6509.0,
Finland,2000,Total,Male,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2001.0,2092593.0,24
Norfolk Island,2001,Total,Male,Church of England,Census - de facto - complete tabulation,"Final figure, complete",2006.0,342.0,
Burkina Faso,2006,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2009.0,4132744.0,
Sri Lanka,2012,Total,Male,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2016.0,6935594.0,
Palau,2005,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2008.0,5273.0,
Pakistan,2017,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2021.0,102556242.0,56
Ghana,2010,Total,Male,Pentecostal,Census - de facto - complete tabulation,"Final figure, complete",2013.0,3240237.0,
Brazil,2000,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2002.0,61901888.451,13
Barbados,2000,Total,Male,Anglican,Census - de facto - complete tabulation,"Final figure, complete",2008.0,32240.0,
Brunei Darussalam,2021,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2023.0,190314.0,
Falkland Islands (Malvinas),2006,Total,Both Sexes,Christian,Census - de facto - complete tabulation,"Final figure, complete",2009.0,1985.0,23
Romania,2002,Total,Male,Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2003.0,9204424.0,
India,2001,Total,Male,Hindu,Census - de facto - complete tabulation,"Final figure, complete",2003.0,428678554.0,"29,30"
Hungary,2001,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2002.0,2437104.0,
Maldives,2014,Total,Male,Islam ,Census - de facto - complete tabulation,"Final figure, complete",2016.0,209619.0,
Vanuatu,2009,Total,Male,Presbyterian,Census - de facto - complete tabulation,"Final figure, complete",2013.0,33510.0,
Jamaica,2011,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2013.0,382399.0,38
Guinea,2014,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2016.0,4517088.0,
Saint Helena ex. dep.,1998,Total,Male,Church of England,Census - de facto - complete tabulation,"Final figure, complete",2000.0,2153.0,
United Kingdom of Great Britain and Northern Ireland,2001,Total,Male,Christian,Census - de jure - complete tabulation,"Final figure, complete",2009.0,19641705.0,107
Cook Islands,1996,Total,Male,Christian,Census - de jure - complete tabulation,"Final figure, complete",1998.0,5491.0,
Mozambique,2017,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2022.0,3484076.0,
Australia,2021,Total,Male,Christian,Census - de jure - complete tabulation,"Final figure, complete",2023.0,5175151.0,2
Niger,2012,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2015.0,16978889.0,
